source,ownership,name,aliases,country,street_address,city,state,description,primary_type,types_multiple,email,primary_website,phone,facebook,latitude,longitude,function,theme,target audience,network_affiliation,services,fablabs_url,hackerspaces_url,status,flickr,youtube,ustream,mailinglist,last_updated,open_to_exchanges,irc,date_of_founding,number_of_members,wiki,twitter,googleplus,membership_fee,jabber,open_to_residencies,size,g_place_id,image_url,tools ,other_websites,africahubs
Hackerspaces.org,,Pikes Peak Makerspace,Pikes Peak Electronics Engineering,United States,"Colorado Springs, CO",Colorado Springs, Colorado,,Workshop,,,p2e2.org,,https://www.facebook.com/p2e2cs,38.9859,-104.801,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Pikes_Peak_Electronics_Engineering,active,,https://www.youtube.com/user/P2E2CS,,,7/13/14,Yes,,4/20/14,1 to 50,,,,"Level 0 $10, Level 1 $20, Level 2 $30, Level 3 $40 /Monthly",,No,One Room @ 300 square feet,ChIJpzeYhKtNE4cRyNkAFJPaZ84,,Electronics,,
Hackerspaces.org,,Hacker-Space Ipswich,,Australia,"Ipswich, Australia",Ipswich, Queensland,,Workshop,,,,,https://www.facebook.com/groups/1465102990414003/,-27.614093,152.758472,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Hacker-Space_Ipswich,planned,,,,,8/28/14,Yes,,,,,,,"Fees will be established once we have a establishment that we can establish., :3\nAs it stands 3 Membership types are planned those are., Novice Level 1 Membership\n24/7 Night Owl Membership\nEpicly Preportionate Membership",,No,250,,,Electronics,,
Hackerspaces.org,,Hackerspace Sarajevo,,Bosnia and Herzegovina,"Bosmal City Center, Milana Preloga bb 71000, Bosnia and Herzegovina",, ,,Workshop,,,,,,"43 50'47"""," 18 22'28""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Hackerspace_Sarajevo,active,,,,,10/23/14,,,10/23/14,1 to 50,,,,0 BAM,,,10,,,Electronics,,
Hackerspaces.org,,SpaceLab,",SpaceLab1,SpaceLab 1",United States,"11028 Front Street Mokena, IL, 60448, Mokena",Mokena, Illinois,Check out the meetup group. http://www.meetup.com/SpaceLab/,Workshop,,,spacelab1.com,708-872-7667,https://www.facebook.com/1spacelab,41.5322,-87.8858,,,,Hackerspaces,,,https://wiki.hackerspaces.org/SpaceLab_1 ; https://wiki.hackerspaces.org/SpaceLab1,active,,,,,2/28/14,,,,1 to 50,,https://twitter.com/1SpaceLab,,"Hacker $50/month: Access to the space whenever another member is present, Free classes, Coffee, printer, copier ///Coworker $150/month: 24/7 Access to the space, Free classes, Coffee, printer, copier, parking Mailbox ///Pro $200/month: 24/7 Access to the space, Free classes, Coffee, printer, copier, parking Mailbox, Personal Desk Space, Personal Storage Space",,,,ChIJ4bmgYwVrDogRBu1OvPOU3ZQ,,Electronics,,
Hacedores,Private Sector,AG Electronica ,,Mexico,"20 Rep£blica del Salvador, Ciudad de Mexico, D.F. 06000, Mexico", Ciudad de Mexico,,"Empresa de distribucion de componentes electronicos y de iluminacion. Con 30 a_os de experiencia, nuestra empresa se especializa en proveer componentes, sistemas y equipos electronicos de vanguardia, para apoyar a los estudiantes, t_cnicos, ingenieros y desarrolladores de equipos y sistemas, en sus ideas y proyectos.Ponemos a su disposicion en inventario mÜs de 35,000 n£meros de parte.Con la amplia gama de productos a base de LEDs, atendemos a empresas de desarrollo, despachos de arquitectos y empresas contratistas en sus proyectos de iluminacion y decoracion.",Workshop,,,agelectronica.com,"(55) 5130 7210, ",,19.429,-99.1338,,,,,,,,,,,,,,,,,,,,,,,,,,,"Electronics, PCB",,
Hackerspaces.org,,Tampa Hackerspace,,United States,"4931 W. Nassau Street, 33607, Tampa",Tampa, Florida,,Workshop,,,tampahackerspace.com,8134386221,http://www.facebook.com/groups/TampaHack/,27.9539,-82.5275,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Tampa_Hackerspace,active,,http://www.youtube.com/channel/UC8ukGWoYknUXTFp0417XKpw,,,6/1/15,yes,,8/1/13,51 to 100,,http://twitter.com/HackTampa,https://plus.google.com/+Tampahackerspace,"USD 50 Member100 Supporting Member",,no,4000ft,ChIJJfQz0I_DwogRS2Kx3flx6o0,,"3D Printer, 3D Scanner, Air Compressor, Arcade, Bio Lab, CNC Mill or Router, Circuit Production, Drill Press, Internet Probe, Kitchen, Laser Cutter, Lathe, Sewing machine, Shower, welding, Bandsaw, Sewing Machine",,
Hackerspaces.org,,Revelation space,,Netherlands,"Spoorlaan 5d, 2495AL, Den Haag, Netherlands",Den Haag, Zuid Holland,,Workshop,,revspace@revspace.nl,revspace.nl,,https://www.facebook.com/revspace,"52 3'47"""," 4 22'5""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Revelation_space,active,,,,http://lists.sig-io.nl/mailman/listinfo/revspace,6/20/15,yes,irc://freenode/revspace,8/17/09,51 to 100,http://revspace.nl,http://twitter.com/#!/revspacenl,,"EUR 25,- / month",,no,250 m__,,,"3D Printer, 3D Scanner, Air Compressor, Arcade, Bio Lab, CNC Mill or Router, Circuit Production, Drill Press, Internet Probe, Kitchen, Laser Cutter, Lathe, Sewing machine, Shower, welding, Bandsaw, Sewing, Electronics",,
Hackerspaces.org,,Hack Local,,United States,Pittsburgh,Pittsburgh, Pennsylvania,,Workshop,,,hacklocal.org,,https://www.facebook.com/dijit.us,40.4379,-79.978,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Hack_Local,planned,,,,,12/12/13,Maybe,,10/15/13,1 to 50,http://wiki.dijit.us,https://twitter.com/dijitus,,,,maybe,,ChIJBVycgmPxNIgRntNdZY52BrU,,"3D Printer, 3D Scanner, Air Compressor, Arcade, Bio Lab, CNC Mill or Router, Drill Press, Laser Cutter, Electronics",,
Hackerspaces.org,,Shackspace,,Germany,"shack e.V., Ulmer Strasse 255, BW-70327, Stuttgart, Germany",Stuttgart, Baden-W _rttemberg,,Workshop,,info@shackspace.de,shackspace.de,+49 (0)711 21729823,https://www.facebook.com/shackspace,"48 46'37"""," 9 14'8""",,,,Hackerspaces,,,https://wiki.hackerspaces.org/Shackspace,active,http://www.flickr.com/groups/shackspace,http://www.youtube.com/shackev,,http://lists.shackspace.de/mailman/listinfo/public,1/3/15,,irc://irc.freenode.net/shackspace,9/13/09,101 to 500,http://shackspace.de/wiki/,http://twitter.com/#!/shackspace,https://plus.google.com/113592717493434088009/posts,"8+ EUR/m (reduced), 20+ EUR/m (full), 50+ EUR/m (supporter)",,,430 m__,,,"3D Printer, 3D Scanner, Air Compressor, Arcade, CNC Mill or Router, Circuit Production, Drill Press, Internet Probe, Kitchen, Laser Cutter, Shower, welding, Sewing Machine, Electronics",,
Hackerspaces.org,,Missoula Makerspace,,United States,"110 Rimrock Way, MONTANA-59803, Missoula",Missoula, Montana,,Workshop,,,missoulamakerspace.com,4062417846,http://facebook.com/missoulamakerspace,46.8622,-114.012,,,,Hackerspaces,,,https://wiki.hackerspaces.org/Missoula_Makerspace,active,,,,replik8tr@gmail.com,1/13/14,yes,,1/1/14,1 to 50,,,,"Two Free Community Days per week.Individual Memberships Closed.Company Sponsorship/Membership including 24/7 access starting at $1200/year.",,maybe,1550 sq. ft.,ChIJj9fddSrMXVMR8uC87OHGFyI,,"3D Printer, 3D Scanner, Air Compressor, Arcade, CNC Mill or Router, Circuit Production, Drill Press, Lathe, Electronics",,
